;1750;1875;2000;2125;2250;2375;2500;2625;2750;2875;3000;3125;3250;3375;3500;3625;3750;3875;4000;4125;4250;4375;4500;4625;4750;4875;5000;5125;5250;5375;5500;5625;5750;5875;6000;6125;6250;6375;6500;6625;6750;6875;7000;7125;7250;7375;7500;7625;7750;7875;8000
3875;102076;106506;110935;115727;126668;131097;135166;139867;140591;152345;148184;149360;157497;161025;162289;167895;170426;174676;178791;179089;184622;188689;193126;202162;200194;208158;211841;221496;228290;233244;236927;240909;244991;251706;269480;340131;340582;355862;341848;354325;362461;363004;363365;364088;364993;367976;371231;371864;374666;385425;389766
4000;105511;109671;113919;118440;129379;133538;137878;142761;143755;155688;151259;152617;160842;165002;165454;171421;174676;178202;182971;183071;188780;193724;197407;206683;204673;212936;216520;221598;228381;238421;238620;241208;247819;256140;276848;340131;347814;355862;347002;354415;362644;363095;363909;365715;369694;373221;374034;379640;386783;390760;394920
4125;113828;117807;122056;126397;133268;137698;142038;147100;148184;160482;151620;152617;160933;165093;165544;171511;174767;178990;182971;185560;193210;197506;201488;211202;209452;217815;221398;225876;233443;238421;242104;255142;255233;271870;280131;348538;349261;356042;351341;354776;362823;363184;367887;370237;373401;374304;381178;388589;391664;396003;397813
4250;114010;118800;123593;128656;135619;139234;144206;148728;149992;163013;153519;155056;163194;167353;171421;173861;177117;181778;185560;189052;197189;201887;205968;215723;212649;222294;226277;226574;237875;243398;248633;255413;258849;278339;283914;349171;356584;360292;355499;359931;363095;365715;368519;371502;375301;381810;389224;392931;396003;398084;413997
4375;113377;117987;122961;128024;140048;140411;145292;150355;159576;164640;160029;160933;169615;173952;178655;181096;184350;189343;193724;197506;205326;210248;214727;224764;222889;231651;235633;240909;247910;261109;268186;279136;285407;296159;296259;369061;369694;370237;359839;364088;378917;381900;382533;389766;399078;413092;416708;420596;424304;426654;439403
4500;115276;120156;125311;130555;142490;142941;148095;153158;162651;167714;163013;164007;173139;177840;182541;185073;188147;193126;197407;201488;209484;214727;218909;229375;227272;236628;240511;248574;251063;260221;289389;293471;297054;307806;308105;374848;375753;398897;383618;383799;384431;394738;396003;401157;415986;419420;422948;426201;429457;434069;445551
4625;122599;126485;130826;135166;145292;146105;150807;155870;165815;170879;166087;167353;176485;180915;185616;188509;197550;202162;206683;211384;220425;224764;229375;233987;231950;241108;245490;278016;268885;278040;296458;300241;305218;317663;320946;379188;379459;401880;402152;402605;409386;424665;428371;432529;436419;440578;444103;449709;453234;454863;469146
4750;123051;127120;132182;137607;147914;148909;153791;158945;168979;173772;168979;170608;180010;184711;189413;192217;201709;206048;210660;215452;224403;229285;233805;238778;235432;245986;250168;280910;276449;287599;303327;306910;308503;321346;324431;391123;402515;406041;409475;410380;425841;429457;433344;445188;449076;449798;450704;454592;458298;460106;469871
4875;124317;129470;134533;140048;153610;154152;159576;164821;175308;180552;175219;176574;186520;191493;196465;199359;204873;209576;214186;217815;222692;231651;236628;241108;245787;255344;260221;283984;291281;305915;309101;311987;315073;325129;325427;396185;406855;407397;413906;427648;430632;434520;434972;446906;449167;451336;454863;454863;469781;474210;481263
5000;127481;132454;137607;142852;156684;157225;162470;167714;178473;183716;178473;180010;190045;191041;194620;197506;210660;215542;220154;225216;234891;239682;244925;249537;259573;264365;269067;301795;296731;309101;312087;315572;318556;325427;334585;400345;407034;415171;416075;431807;435605;436147;441753;462276;466796;470866;493288;497537;501244;506578;512365
5125;134082;138783;143663;148638;155509;168890;174586;182994;190316;187875;208219;207043;214637;213825;223498;231454;236246;245377;246824;249988;256137;262284;268704;271508;278107;285250;288322;335067;323855;327112;327112;337598;341034;344377;344649;446183;454139;461191;467520;477375;485692;488949;486145;488405;497809;515347;519687;524480;532255;536685;541025
