;1750;1875;2000;2125;2250;2375;2500;2625;2750;2875;3000;3125;3250;3375;3500;3625;3750;3875;4000;4125;4250;4375;4500;4625;4750;4875;5000;5125;5250;5375;5500;5625;5750;5875;6000;6125;6250;6375;6500;6625;6750;6875;7000
4375;76856;80003;83448;86819;88767;94535;98581;101951;104273;110566;114985;117906;120604;127046;130865;132589;134986;142476;145773;148619;151989;158207;161578;164650;167720;174313;177309;181279;183826;190043;201804;210044;214763;222854;222929;236112;241282;246600;249596;252592;257611;264952;265402
4500;78205;81426;85021;88542;90640;97007;100454;103824;106895;113786;117083;120228;122701;130342;133712;135585;139331;145323;148544;151615;154986;161578;164724;168021;171017;178058;180980;187047;188920;195811;217760;220831;223528;231618;231843;242180;245327;257911;260833;266152;266675;273792;274766
4625;83149;85846;88618;90115;91239;99104;102326;104947;107494;115809;119330;122476;123225;132513;136109;138131;140378;148170;151391;154836;156635;164650;168021;171392;174538;181429;184726;191317;196486;209220;223079;225925;229671;239035;241506;242480;247723;262406;267799;268174;272593;277313;285253
4750;83524;86145;89741;91389;92737;100977;104348;106370;107719;117906;121502;123375;125622;135285;138806;140828;141877;151016;154312;156260;159406;167945;171167;171392;175961;185100;188246;195437;208022;216411;228247;230944;232142;241806;244128;250196;252143;265253;272668;273268;274991;280309;282781
4875;84422;87793;91239;95059;97681;103748;108243;111839;114611;121502;125847;129443;132963;139331;143900;146072;150117;156635;160230;163901;167571;174313;178058;181429;184949;192141;195811;206149;219183;230195;232592;234764;237086;244652;244877;255889;262780;271395;275665;284803;286976;289373;289672
5000;86370;89890;93262;96857;99254;106670;110192;113786;116708;124723;128169;131915;135285;142777;146447;148619;152814;159406;162927;166748;170418;177385;181355;184726;188246;195587;199182;210119;219183;232592;234839;237461;239708;244877;251769;258585;265551;276489;277162;287501;290122;290421;294242
5125;90939;94086;97457;99104;100378;108842;115061;116633;117007;127420;134461;135135;137908;146447;153113;153862;155435;163226;169069;171167;171991;179706;184126;185999;190268;199182;201355;213191;225775;239783;242031;242330;244802;252143;257537;262705;267275;279785;283679;289598;294691;296639;297762
5250;92138;95584;99179;100527;101726;110566;117757;119404;119705;130042;137683;138506;139406;149742;157608;156709;157533;166897;167422;174687;174613;182178;187047;188096;190793;201355;203527;215512;232592;242031;248098;247873;249746;258061;263454;265627;268174;284953;287425;291845;297014;299935;300909
5375;96782;100454;104048;107869;107944;112663;118956;123600;124273;133113;141877;143825;147646;154462;159556;163376;166373;168095;174613;180830;183152;184726;193564;195887;199857;202629;205625;219334;235887;245177;249746;257087;260233;266001;270271;284204;286751;288024;293268;297762;300159;307576;310272
5500;99254;102700;106295;110040;112288;114311;123974;128618;132214;134761;144499;146147;150043;157308;165774;170418;171617;173639;183152;185699;188321;193789;198433;203228;205700;208995;212142;221505;238285;247799;252143;260159;263155;267649;274242;286077;289598;295815;296789;300684;304954;310647;317614
5625;103000;106595;110265;112214;114461;120453;127121;130941;133712;140154;150043;151916;153713;161578;173189;176860;177534;182254;190119;193115;191243;197384;206374;209071;211542;216936;221730;227199;240832;257911;260982;266450;266600;276039;287276;287276;293043;300609;308849;313493;311021;318812;328400
5750;105396;108842;112588;113936;116334;123974;128469;132513;133413;144050;151391;155586;156110;165249;174837;178583;181355;185774;191842;196186;196711;202253;208396;211243;215138;221580;224501;234764;246375;261657;265927;271919;272068;279785;292818;293268;295515;303305;316639;319486;319486;324505;332969
5875;107419;110940;114611;118431;121802;126520;129592;136859;138806;146072;155660;159406;162627;168469;177683;182254;186822;191392;193865;200082;205700;208322;210719;214164;216411;223753;229595;244278;253566;264727;275665;285478;290122;293718;295366;305104;308923;316940;324205;328400;332820;335741;340311
6000;109292;112813;116633;120379;123375;128469;131465;138282;140754;148844;157833;161578;164724;171691;180080;184875;189294;193865;196560;202703;208396;211243;213415;217011;222254;226599;232667;247199;256487;272967;278585;288923;293418;295591;296938;308475;312445;320759;327951;330423;336490;339636;342409
